Автор,Название статьи,Категория,Уровень сложности,Время на прочтение (ч.),Количество просмотров (тыс.),Рейтинг,Добавить в закладки,Комментарии
nosbuka,Трейсы в Spring Boot 3 с использованием Zipkin и Kafka в качестве транспорта,Туториал,Средний,0.22,3.0,+6,"
    35
  ",5
MAX1993M,Kotlin Multiplatform перешёл в stable. Что это значит?,Обзор,Простой,0.07,4.9,+26,"
    14
  ",9
RukInDaHouse,Это база: нюансы работы с Redis. Часть 1,Обзор,Средний,0.25,14.0,+64,"
    219
  ",2
Lelepud,Понимают ли нейросети друг друга?,Из песочницы,Простой,0.07,3.5,+4,"
    7
  ",4
JustJeremy,"Nintendo Game Processor — компьютер для создания игр, который не выпустила Nintendo",Перевод,Простой,0.05,3.7,+18,"
    12
  ",5
maxkachinsky,История облачного переезда: как мы отказались от гибридного деплоя и полюбили Terraform,Кейс,Простой,0.2,3.9,+11,"
    26
  ",1
badcasedaily1,Применение архитектурных шаблонов в машинном обучении: разбор Gradient Boosting,Обзор,Простой,0.2,1.4,+2,"
    23
  ",2
MaxRokatansky,Ловим сетью. 5 способов автоматизировать поиск информации при помощи нейросетей,Обзор,Простой,0.07,2.9,-1,"
    25
  ",2
esteselkin,Визуальный и интерактивный отчёт матрицы коллизий из Autodesk Navisworks в Microsoft Power BI,Туториал,Простой,0.15,0.877,+2,"
    9
  ",0
D_menty,О «критически важных» обновлениях Angular 17,Из песочницы,Средний,0.05,3.2,+4,"
    3
  ",26
Infotecs_official,Анонсирован выпуск первого в мире квантового компьютера с более чем 1000 кубитов,Мнение,Средний,0.07,7.7,+1,"
    8
  ",24
NigrumKross,Сокращаем дистанцию: как сконструировать SQL-модели в MLflow и упростить управление жизненным циклом машинного обучения,Перевод,,0.15,0.804,+11,"
    15
  ",0
SLY_G,Как прошёл эксперимент с китайской лунной микрофермой,Перевод,,0.1,7.5,+30,"
    13
  ",15
AndyJack,"WIP-лимиты помогают тимлиду усилить команду: рассказываем, как их внедрить и какие могут быть ошибки",Туториал,Простой,0.17,1.7,+2,"
    15
  ",3
sashadzen,"Можно ли обойтись без нативных языков, разрабатывая на Flutter и RN?",Мнение,Средний,0.08,3.4,+5,"
    22
  ",7
Mixail_Sviridov,"Рынок ARM-чипов расширяется, но для Intel это не проблема: мнение генерального директора компании",,,0.07,2.9,+16,"
    2
  ",9
tsymbaluyk,Как отличить реальные отзывы от фейковых в Интернете [Инструкция от маркетолога],Мнение,Простой,0.05,15.0,+1,"
    31
  ",14
darinka666,Обзор Llemma: новая математическая open-source модель,,Средний,0.1,4.3,+12,"
    33
  ",4
Ilya12c,"Из фото в 3D, ч.1: геометрия формирования изображения",Туториал,Сложный,0.1,2.7,+15,"
    50
  ",6
andrey_stepanov1,Как провести курс для разработчиков (за 1.5 млн) в маленькой компании и не сойти с ума,Ретроспектива,Простой,0.1,2.5,-1,"
    9
  ",10
knikitina,Как сделать тесты на Espresso более читабельными и стабильными,Кейс,Средний,0.23,1.3,+9,"
    19
  ",2
valisak,Как менялось наше представление о Большом взрыве,Ретроспектива,Средний,0.17,16.0,+50,"
    50
  ",42
DyninnoGroup,Как построить VoIP кол-центр на 4000+ операторов,Кейс,Средний,0.1,2.7,-2,"
    8
  ",2
olegbunin,Как построить Observability для инфраструктурной платформы,,,0.22,2.3,+6,"
    34
  ",0
Dinis_S,Создание сервиса авторизации через систему ЕСИА,Кейс,Средний,0.3,4.5,+6,"
    57
  ",14
icq8680,Настраиваем Git server hook в GitLab On-Premise для защиты кода от вмешательства злоумышленников,Кейс,,0.08,1.7,+13,"
    16
  ",13
kpy3no,"Жук, нумерология, хеш или ничо? Оптимизация работы с путями",Кейс,Средний,0.12,2.3,+24,"
    29
  ",17
rip_m,Microsoft PowerToys: Король GitHub среди C# проектов с C++ ошибками,,Средний,0.18,7.0,+15,"
    28
  ",14
FirstJohn,Использование табличных тестов в go для тестирования запросов к БД + testify,Туториал,,0.18,1.3,+2,"
    18
  ",3
PPR,Как создать интерактивные виджеты на iOS 17,Туториал,Средний,0.15,1.4,+2,"
    7
  ",4
Shpankov,Vivaldi 6.4 для iOS — Опытная унификация,Перевод,Простой,0.07,1.1,+5,"
    2
  ",9
SLY_G,Уэбб ищет планеты в системе Фомальгаута,Перевод,,0.08,1.3,+5,"
    4
  ",5
Albert_Wesker,Что такое гексагональная архитектура. Разделение бизнес-логики и инфраструктуры с помощью портов и адаптеров,Перевод,Средний,0.22,8.7,+32,"
    73
  ",41
jehy,Как и зачем я стал автором курса по веб-разработке?,Мнение,Простой,0.08,2.7,-2,"
    14
  ",1
ko_ya,Как в США судились с программистами: три интересных кейса последних лет,Обзор,Простой,0.07,10.0,+11,"
    25
  ",14
Cloud4Y,ИИ-помощники для работы с кодом,Обзор,Простой,0.07,6.5,+5,"
    88
  ",2
ZaurVelibekov,Искусство создания безопасных и надежных приложений,,Простой,0.07,1.2,+1,"
    22
  ",0
Creonit,"Проектирование архитектуры через User Stories, часть 1. Вовлекаем в процесс заказчика",Туториал,Средний,0.13,2.9,+7,"
    48
  ",13
Kilor,PostgreSQL Antipatterns: ходим по JSON-граблям,Кейс,Простой,0.05,11.0,+23,"
    82
  ",13
0,30 лет МТС: принимаем поздравления и делимся опытом,Спецпроект,,0.13,7.5,+33,"
    8
  ",35
Gonchar_POTT,"Дышим, чтобы жить лучше. Часть 1",Кейс,Простой,0.08,2.1,0,"
    15
  ",2
Seleditor,"Китай ускоряет процесс импортозамещения. Проблемы есть, но давление США пока не смогло остановить КНР",,,0.07,8.1,+28,"
    8
  ",91
pashigorev,"Solutions architect, который не пишет код",Обзор,Средний,0.07,4.8,+3,"
    27
  ",29
SLY_G,Обсерватория имени Веры Рубин сможет находить до 70 межзвёздных объектов в год,Перевод,,0.08,1.8,+11,"
    7
  ",13
uzumeti,Как материалы расширяются при охлаждении и почему это очень странно?,,Простой,0.05,37.0,+41,"
    48
  ",68
badcasedaily1,Какую библиотеку на Python выбрать для создания телеграм-бота?,Обзор,,0.2,12.0,+1,"
    136
  ",11
SLY_G,Новые телескопы для изучения последствий Большого взрыва,Перевод,,0.07,1.9,+11,"
    6
  ",0
divolko3,iPhone 15: обзор новейшего смартфона от Apple из первых рук. Что это за девайс?,,,0.08,6.5,+8,"
    7
  ",38
Friflex_dev,Как использовать нативный платежный сервис SberPay в кроссплатформенном приложении на Flutter,Туториал,Средний,0.37,1.6,+3,"
    12
  ",1
VladMotroshilov,Как сделать B2B-блог инструментом продаж: простая стратегия для сложных продуктов,Кейс,Простой,0.08,0.772,-3,"
    5
  ",1
edlost,"Press F, чтобы рассчитать использование облачных ресурсов",,,0.12,2.0,+24,"
    10
  ",8
MaxRokatansky,SQLx: raw SQL в Rust,Перевод,,0.15,3.8,+12,"
    19
  ",19
Alexander_Sukharev,"Облака победят — не нокаутом, а по очкам, или Как решиться на ИТ-аутсорсинг",Мнение,,0.07,1.7,+5,"
    9
  ",50
CloudMTS,Виртуальная инфраструктура и облачные сети: как создать единую систему в разных зонах доступности,Обзор,,0.05,1.5,+15,"
    15
  ",0
AnnaVlMorozova,Основы тайм-менеджмента: как эффективно распоряжаться своим временем,,,0.1,17.0,+22,"
    115
  ",28
valli0x,PKI на ENS. Часть 2. Proof-of-Concept,,Средний,0.03,0.729,-4,"
    2
  ",2
habr_career,Активность найма на IT-рынке в 3 квартале 2023,,,0.05,20.0,+23,"
    21
  ",37
itglobalcom,"Джон фон Нейман: выдающийся венгерский ученый, участник Манхэттенского проекта и автор статей по квантовой механике",Ретроспектива,,0.1,2.5,+6,"
    20
  ",3
EvgenyTFT,Проект интерактивной космической станции. Познание и испытание,Из песочницы,Простой,0.08,1.5,+11,"
    10
  ",18
klimensky,Битва за флешку: кто изобрел USB-накопитель?,Ретроспектива,,0.17,7.9,+23,"
    24
  ",30
redcollar,Тестирование проектов: ожидание и реальность,FAQ,Простой,0.08,4.4,+2,"
    24
  ",5
fildens,Как реализовать приостановку трансляции и фоновый стриминг на Android с помощью опенсорс-библиотеки,Кейс,Средний,0.07,0.498,0,"
    4
  ",0
Testograf,"12 вопросов, которые не стоит задавать сотруднику при анкетировании",Recovery Mode,,0.1,3.5,-4,"
    4
  ",2
SSul,На что способен КриптоПро JCP? Туториал по валидации отсоединенной электронной подписи,Туториал,Средний,0.13,2.7,+4,"
    19
  ",4
5a5ha,Удар молнии с VFX Graph,Туториал,Простой,0.07,0.99,+2,"
    11
  ",0
Ivoya,Scala Digest. Выпуск 10,Дайджест,Простой,0.1,1.2,+14,"
    2
  ",7
badcasedaily1,Роль HR в борьбе с профессиональным выгоранием,,,0.15,2.2,+4,"
    18
  ",12
klimkovsky,3 ноября 2023 противостояние Юпитера,Обзор,Средний,0.07,4.3,+15,"
    9
  ",8
VladSmirnov,"Как запустить Web3-проект | Часть 3: Токеномика, Фандрейзинг, Лончпады, Биржи и Маркет-Мейкеры",,Средний,0.27,14.0,+3,"
    26
  ",56
DataBanksy,Выбор платформы и подрядчика для замены иностранного BI. На что нужно обратить внимание,Мнение,Простой,0.12,2.2,0,"
    4
  ",6
VladSmirnov,Как запустить Web3-проект | Часть 2: Виды проектов и построение команды,,Средний,0.17,11.0,+3,"
    30
  ",2
dluciv,"Обзор книги «С++ 20 в деталях»: доступно, но не для джунов",Обзор,,0.13,13.0,+25,"
    86
  ",14
OxyJenn,"Чёрная рука, красные глаза и другие страшилки",Из песочницы,Простой,0.05,6.8,+68,"
    30
  ",10
a_melnikov,Использование ML для прогнозирования CLTV,Туториал,Средний,0.17,1.0,+11,"
    20
  ",2
ZORG23,"История стажёра: как я пришёл в ИТ из продаж, прошёл стажировку и устроился в крупную телеком-компанию",,Простой,0.15,6.3,-7,"
    20
  ",2
VladSmirnov,Как запустить Web3-проект | Часть 1: Коммьюнити-менеджмент и маркетинг,Из песочницы,Средний,0.25,13.0,+5,"
    36
  ",10
its_capitan,"Короче, кейс: как разработчика уволили. А он за 10 дней запустил свой простой продукт и вышел на $4K в месяц",Кейс,Простой,0.07,15.0,+20,"
    67
  ",51
Hanamime,Жизнь после Spotify: какими музыкальными сервисами пользуются россияне,Обзор,Простой,0.08,22.0,+24,"
    16
  ",73
kmoseenk,"Илья Суцкевер, главный научный сотрудник OpenAI, о своих надеждах и опасениях относительно будущего ИИ",Перевод,Простой,0.22,5.8,+15,"
    20
  ",8
ru_vds,"Не набирайте тексты в интернете, или Обфускация времени между нажатиями клавиш в SSH",Мнение,Простой,0.08,41.0,+83,"
    91
  ",117
qmzik,Что нового в Chrome 119?,Перевод,Простой,0.05,4.7,+2,"
    7
  ",3
vasilisa_b,"(Пере)рождение метавселенной: что происходило с детищем Цукерберга и вокруг него, пока все восхищались ChatGPT",Обзор,Простой,0.13,5.4,+9,"
    8
  ",9
sea-team,Детектируем горизонтальное перемещение с WMIExec,Аналитика,Средний,0.17,1.1,+5,"
    14
  ",4
Start_X,Почему ChatGPT пишет код с уязвимостями и как это исправить: наблюдение белого хакера,Кейс,,0.07,5.0,-2,"
    15
  ",3
Latyshenko,Использование многоуровневых зависимых списков в MS Excel для маппинга организационных структур,Перевод,Простой,0.02,3.7,0,"
    19
  ",0
divolko3,Токсичная «Джоконда»: Леонардо да Винчи использовал специфические пигменты в ходе работы над картиной,,,0.05,2.6,+19,"
    8
  ",2
bodyawm,Гиковский КПК за копейки: как китайцы сделали ARM-ноутбук за 40$ с железом от… навигатора?,Ретроспектива,Простой,0.13,29.0,+39,"
    26
  ",50
Dmytro_Kikot,Коснуться и ощутить: многофункциональный датчик для электронной кожи,,,0.22,0.789,+16,"
    10
  ",1
Xcom-shop,Параллельный импорт — потому что всем параллельно… или перпендикулярно,Мнение,Простой,0.13,4.3,0,"
    7
  ",17
VitalyShaev,Во что превратились текстовые редакторы,,,0.13,14.0,+6,"
    18
  ",69
rumin_v_rabote,5 детских болезней бизнеса в российском производстве,Интервью,Простой,0.08,8.5,+27,"
    19
  ",19
rpuxaa1,Байт-код — это просто! Как сделать DI по-настоящему быстрым,,Средний,0.17,9.4,+25,"
    39
  ",39
ATOM_Team,"Будущее ближе, чем кажется",,,0.05,1.9,-5,"
    5
  ",7
Lorik22,Исследование составов для тушения пожаров на основе водных растворов полиакриламида,Из песочницы,Простой,0.13,0.634,+2,"
    6
  ",2
SearchInform_team,"(Не) безопасный дайджест: слив через подрядчика, взлом авиакомпании и корпоративное мошенничество",,Простой,0.08,1.3,+2,"
    4
  ",1
Gazinformservice,Краткий обзор форума GIS DAYS 2023. День информационной безопасности,,,0.08,0.411,0,"
    4
  ",0
avbykov,Тестируем инфраструктуру и приложение на устойчивость к DDoS-атакам,Туториал,Простой,0.08,1.9,+7,"
    28
  ",0
StillWork,Критерии выбора курсов по тестированию для начинающих IT-специалистов. Часть 1,Мнение,Простой,0.07,1.0,-2,"
    11
  ",2
NewTechAudit,Поможем Ходору найти новых друзей с помощью графов,Туториал,Средний,0.17,2.3,+3,"
    34
  ",2
savchak,Тренды угасания и становления в коммуникациях,Recovery Mode,,0.07,0.862,0,"
    1
  ",1
VadimLunin,Part 2. Инструменты управления тестированием,,Простой,0.12,2.0,+1,"
    20
  ",3
useapi,Взаимодействие с Midjourney с использованием Discord API • Часть II,Туториал,Простой,0.15,0.834,+2,"
    16
  ",2
igor_suhorukov,Жилье в 500м от сетевых продуктовых магазинов в Москве. Или как публикация на Лента.ру избегает Хабр и дезинформирует,,Средний,0.22,5.3,+11,"
    18
  ",29
badcasedaily1,Архитектурный паттерн для обработки больших данных: Kappa,Обзор,Простой,0.13,5.8,+9,"
    47
  ",0
Khrenova,Книги по менеджменту vs. ГОСТы,Обзор,Простой,0.12,4.0,+2,"
    29
  ",5
AzamatKomaev,Знакомьтесь: 97 вещей которые должен знать каждый Cloud-инженер,Перевод,Простой,0.22,3.6,-1,"
    35
  ",3
YarIkGU,История языка С,,Простой,0.05,3.8,-17,"
    8
  ",36
GidraVydra,"Ядерный магнитный резонанс, ЯМР⁠⁠. Часть 2",,Средний,0.2,4.4,+26,"
    28
  ",31
Seleditor,"Релиз ядра Linux 6.6: возможности, обновления и самые заметные изменения",,,0.08,12.0,+50,"
    24
  ",0
tarlakovsky,Встреча с Динкинешем,,Простой,0.05,1.5,+11,"
    6
  ",4
SLY_G,Физики проверяют в лаборатории новую гипотезу о происхождении жизни,Перевод,,0.07,32.0,+16,"
    28
  ",44
Ivan006,Как я создал электронную проходную по Qr-кодам,Из песочницы,Простой,0.17,13.0,+7,"
    37
  ",15
ShadowGreg,Микросервис отправки писем через smtp Yandex .Net Web Api MailKit,Из песочницы,Простой,0.12,2.6,-1,"
    22
  ",16
OlegSivchenko,"Вы, конечно, шутите, мистер Нейман! Страшная сказка о серой слизи",,,0.22,8.0,+38,"
    23
  ",27
maksler,Прогнозирование нагрузки солнечных электростанций,,,0.12,1.4,+3,"
    13
  ",1
SLY_G,"Дайджест научпоп-новостей за неделю, о которых мы ничего не писали",Дайджест,Средний,0.1,1.6,+14,"
    5
  ",1
R_Voland,"В помощь тем, кто погружается в Smali",,,0.1,1.3,+5,"
    30
  ",0
Pavel_Koryakin,Гайд: как интернет-магазину подготовиться к Черной Пятнице,Recovery Mode,,0.13,0.754,0,"
    5
  ",4
panyukovnikolay,@Scheduled + @Async (в Spring Boot),Туториал,Простой,0.07,6.8,+9,"
    54
  ",6
Number571,Пишем printf на языке ассемблера FASM,Кейс,Сложный,0.2,12.0,+47,"
    83
  ",5
shiotiny,"ShIoTiny5 — светодиоды, индикаторы и шкалы",Recovery Mode,Простой,0.23,4.0,+6,"
    34
  ",3
AndreyDmitriev,Считаем медиану быстрее numpy,Кейс,Простой,0.3,4.6,+13,"
    37
  ",18
igorvarnavsky,Главный принцип разработки интерфейсов,Мнение,Простой,0.05,12.0,+15,"
    58
  ",40
eoanermine,C++ Дайджест №6 (16 октября – 29 октября 2023),Дайджест,Простой,0.05,2.8,+7,"
    17
  ",1
ProQualityCommunity,Топ 5 QA-метрик для улучшения качества тестирования,Перевод,Средний,0.12,6.4,0,"
    25
  ",1
quanttelecom_ru,Установка OC Linux на плату Kintex 7 (KC705) от Xilinx с софт-процессором MicroBlaze часть 2,Туториал,,0.15,0.968,+2,"
    14
  ",0
YBCase,Как получить криптолицензию в Литве: основные шаги,,,0.27,0.794,0,"
    5
  ",3
divolko3,Самые лёгкие ноутбуки для работы и не только: что предлагает рынок,,,0.1,8.0,+15,"
    15
  ",64
vlevena,"Как заказчик пришел к нам за новой фичей, а мы его отговорили",Туториал,,0.08,2.9,+14,"
    20
  ",12
DigitalTatarstan,RTsim: из стартапа в ИТ-парке в поставщика решений для крупного бизнеса,,,0.08,0.39,0,"
    1
  ",0
nexynp,Как я стала тимлидом и стоило ли оно того,Мнение,Простой,0.07,23.0,-2,"
    30
  ",38
Guren302,Будет страшно: пять японских игровых хорроров на этот Хэллоуин,Ретроспектива,Простой,0.12,4.7,+39,"
    25
  ",2
Keithla,Как работают Model Serving инструменты изнутри. Пишем свой на Python и Docker с нуля,Туториал,Средний,0.25,2.4,+1,"
    40
  ",4
LyubavinSergey,Релиз без ошибок. Невозможное возможно?,Кейс,Простой,0.25,1.6,+6,"
    16
  ",1
Liloon21,Руководство для начинающих по Spark UI: Как отслеживать и анализировать задания Spark,Перевод,Простой,0.22,1.7,+4,"
    29
  ",2
badcasedaily1,Java Unsafe API для низкоуровневого манипулирования памятью,Обзор,Простой,0.17,3.6,+7,"
    38
  ",3
Mixiw,Рисуем с нейросетями: тонкие корректировки в Midjourney и Lumenor.ai,Туториал,,0.05,3.8,+5,"
    33
  ",10
Nanamuru,"Проверяем YTsaurus. Доступность, надёжность, open source",Обзор,Средний,0.3,1.8,+10,"
    12
  ",0
MediaMetriqa,Нас ждёт крупнейший в истории ретродроп? Starknet подтвердил раздачу,Recovery Mode,Простой,0.05,2.1,-12,"
    1
  ",3
ProductivityInside,Доводим разработчика до выгорания: три простых шага,Перевод,,0.12,42.0,+24,"
    69
  ",20
MaxRokatansky,"Кратчайший путь с одним источником во взвешенных графах, Алгоритм Дейкстры и Python",Обзор,Простой,0.27,2.7,+4,"
    40
  ",0
virtual_explorer,Технология «Дятел»: новаторское решение проблемы галлюцинаций ИИ,,,0.07,4.9,+20,"
    36
  ",12
ivansychev,Как мы создаём защищённые автоматизированные рабочие места,,,0.08,5.5,+10,"
    23
  ",35
PERCo,9 советов по выбору шлагбаума,,,0.07,1.0,+1,"
    5
  ",3
itglobalcom,Международная гонка в области квантовых технологий и интернета набирает обороты,,,0.08,2.0,+2,"
    9
  ",4
knyazevay,Арифмометр Чебышёва: первая отечественная счетная машина с непрерывным движением,Ретроспектива,Простой,0.13,3.6,+20,"
    27
  ",10
habr_career,Дайджест событий для эйчаров и рекрутеров в IT в ноябре,,,0.07,0.74,+4,"
    1
  ",0
Rombneromb,"Олег Бартунов о премии Highload++: лидерство обязывает всё время доказывать, что ты чего-то стоишь",Интервью,,0.15,4.0,+21,"
    18
  ",7
HannaBilova,50 лет видеоиграм — часть 3. Хорошие игры всегда вне конкуренции,Перевод,,0.22,4.3,+14,"
    20
  ",1
totsamymatveev,Когда одной ARIMA мало. Прогнозирование временных рядов нейросетями,Туториал,Средний,0.2,3.9,+7,"
    49
  ",7
uwriter,"Вы никогда не сократите Тime Тo Мarket, если будете тестировать все фичи на одном сервере",Мнение,Простой,0.07,2.0,+20,"
    18
  ",25
dubitskaya,Как я ускорила разработку корпоративных онлайн-курсов с помощью современной модели 4С/ID и использования нейросетей,Кейс,Средний,0.1,2.9,+4,"
    23
  ",0
DAN_SEA,Скоростная лазерная CO2-установка (гравёр) — что это такое и как устроена?,Обзор,Средний,0.23,6.0,+42,"
    39
  ",20
Digital_Design,Flutter. Локальная база данных,Туториал,,0.12,4.0,0,"
    31
  ",6
belyiz,Как мы создавали и внедряли свою матрицу компетенций,,,0.12,17.0,+6,"
    80
  ",16
wwakabobik,"Вы что, хотите как в 90-ые?! Страшно?",Ретроспектива,Простой,0.93,5.6,+14,"
    22
  ",17
AshotD,Как написать новостной Телеграм-канал если ты не программист. Часть третья,,Средний,0.12,2.1,+3,"
    38
  ",0
mvideo,Нужны как воздух. История очистителей воздуха,Ретроспектива,,0.22,1.9,+12,"
    20
  ",0
SLY_G,"Что будет с оборотнем, если отправить его на Луну?",Перевод,Простой,0.1,6.3,+42,"
    14
  ",20
1shaman,Обзор утилиты для поиска секретов TruffleHog,Туториал,,0.1,2.2,+4,"
    19
  ",1
MaFrance351,Как запустить сотовую сеть стандарта AMPS при помощи SDR,Туториал,Сложный,0.2,7.0,+48,"
    48
  ",26
5kull_h4ck3r,"Раскройте тайну убийства, чтобы присоединиться ко взлому века",,Простой,0.02,11.0,+40,"
    22
  ",16
SmartEngines,Сладость или гадость?  Что покажет Smart Tomo Engine,,Простой,0.07,0.581,+1,"
    3
  ",0
Julia_Sedova,Зачем и как планировать трудозатраты технического писателя?,Туториал,Простой,0.12,1.2,+4,"
    16
  ",2
youtravelme,Bug policy. Что делать когда работа с дефектами — это хаос и ужас,Кейс,Средний,0.07,1.2,+3,"
    19
  ",3
beatlejute,ABR для живых трансляций,,,0.15,0.746,+10,"
    5
  ",0
IKURDINS,Знакомство с разработкой SAP Data Services,Из песочницы,,0.05,0.627,+2,"
    1
  ",5
AleksandrTallinn,Законы природы объективны или всё же субъективны?,,Простой,0.13,8.1,+4,"
    21
  ",85
ackedze,"Зачем банкам менять интерфейсы, и как это сделать, если вы тоже хотите",Кейс,Средний,0.13,1.9,+7,"
    8
  ",15
mikerosoft,"Приходите к нам на завод, у нас тяжело",,,0.17,118.0,+248,"
    210
  ",263
Mektus,"Backend Driven UI с точки зрения бэкенда: к чему готовиться, если вы решили на него перейти",,,0.17,3.4,+8,"
    22
  ",1
EvseevEE,Как работают полумошеннические конторы по ремонту компьютеров: немного инсайда и советов,,Простой,0.1,85.0,+184,"
    124
  ",392
Dmitrii43,Умный дом на Raspberry Pi и Home Assistant: добавляем диммеры и реле Wiren Board,,Простой,0.17,9.0,+21,"
    76
  ",27
AlexeyNadezhin,Тест новых батареек Epilso,,Простой,0.03,3.3,+15,"
    5
  ",3
Zara6502,Просмотр монохромных артов ZXART на ATARI XL/XE,Туториал,Средний,0.25,1.5,+10,"
    17
  ",23
PurplePlane,Flutter и работа с нативным кодом на примере библиотеки для работы с NFC,Туториал,Простой,0.05,1.4,+1,"
    19
  ",2
darkbenladan,Какие проблемы может помочь решить DevOps as a Service? Пожар инфраструктуры и управление командой,Кейс,Простой,0.15,1.7,+2,"
    13
  ",2
aaplpro,Спецвыпуск Apple Pro Weekly News – Презентация Apple (31.10.23),Дайджест,,0.1,5.5,+8,"
    1
  ",4
YuriPanchul,"Сонары, роботы и чем флейта лучше гитары",,,0.05,2.3,+9,"
    15
  ",9
DiTsi,Бинарные пятнашки,Кейс,,0.07,5.7,+42,"
    10
  ",3
SLY_G,Увеличивается ли масса объектов при приближении к скорости света?,Перевод,,0.18,33.0,+28,"
    72
  ",207
Kaspersky_Lab,Security Week 2344: исследование кампании «Операция Триангуляция»,,,0.07,1.7,+10,"
    8
  ",0
AstroTubo,Комета C/2023 H2 (Lemmon): где найти её на небе,,,0.02,1.6,+6,"
    3
  ",0
digitalsibur,Байки с завода: как IT-специалисту на производстве живётся,Репортаж,Простой,0.07,30.0,+62,"
    71
  ",40
Lens-agency,Атрибуция в маркетинге или «не все так однозначно»,Из песочницы,,0.1,0.722,0,"
    8
  ",4
Skill_Vortex,Геймификация в обучении и как Duolingo связан с Ведьмаком?,,Простой,0.18,2.9,-1,"
    11
  ",11
LivreLady,"Они поклялись любить друг друга в горе и радости, а также мыть полы по очереди",Recovery Mode,Простой,0.1,2.6,-4,"
    10
  ",23
BiktorSergeev,ThinkPad X41 Tablet в 2023 году,,,0.13,6.6,+26,"
    11
  ",4
virtual_explorer,Создан самый маленький в мире ускоритель частиц — размером меньше монеты,,,0.05,13.0,+24,"
    27
  ",18
gregyku,Патентный аспект в Нобелевской премии Алексея Екимова,Обзор,Простой,0.17,2.9,+5,"
    8
  ",6
badcasedaily1,Индексирование полнотекстовых данных в PostgreSQL с использованием модуля pg_trgm,Обзор,Простой,0.18,5.3,+19,"
    106
  ",12
pomazkovjs,Как подготовиться к собеседованию с помощью Telegram-бота на Node.js,Туториал,Простой,0.23,5.2,+29,"
    70
  ",2
GarryC,К вопросу об импорто-замещении среди видеокамер,Обзор,Простой,0.15,3.7,+11,"
    11
  ",16
anastasiy_y,"Город, которого нет: как и почему с карты России исчезали поселения",Ретроспектива,,0.17,17.0,+46,"
    58
  ",186
gromspys,Управление общей кодовой базой в микросервисной архитектуре,,Средний,0.1,7.8,-3,"
    44
  ",8
Bright_Translate,О сложности и монолитах,Перевод,Простой,0.3,5.1,+30,"
    54
  ",69
alessander_smirnov,Как выбрать IT специальность и не разочароваться,Из песочницы,Простой,0.07,7.9,-7,"
    13
  ",9
Saitcraft77,Как с помощью Мастера кампаний при сокращении бюджета уменьшить стоимость лида из Директа с 2500 до 344 р?,Recovery Mode,,0.05,1.4,-4,"
    3
  ",7
Artsfactory,"Souls, куда уже плавнее?",Обзор,Средний,0.1,6.0,+4,"
    21
  ",0
SIGMA_team,"Как я делал то же, что и ФСТЭК, когда это еще не было трендом",,Простой,0.08,7.1,+7,"
    31
  ",6
RomanSeleznev,Осмысленная визуализация при анализе и проектировании в действии,Кейс,Средний,0.2,2.2,+5,"
    24
  ",21
fzmax,Как выращивать SOC на корпоративной ферме,Мнение,Простой,0.12,3.5,+20,"
    21
  ",4
klimensky,Как мастер маримбы создал настольный планетарий,Ретроспектива,,0.17,2.0,+14,"
    8
  ",3
Suvitruf,"Недельный геймдев: #145 — 29 октября, 2023",Дайджест,Простой,0.12,2.1,+12,"
    7
  ",1
RSpectr,Дорогой ИТ-дубль: почему дублирующие программные продукты мешают развитию цифровой экономики,Recovery Mode,Средний,0.12,1.8,-5,"
    10
  ",9
yooteam,"Что общего у Rolls Royce, покрытия автотестами и PgBouncer",,Средний,0.1,0.978,+2,"
    13
  ",1
ValerianMemsk,Сортировка в Laravel по полям relation-ов,Из песочницы,Средний,0.08,2.2,-1,"
    16
  ",5
itglobalcom,Чек-лист: как правильно выбрать поставщика СХД,,,0.08,1.6,+8,"
    10
  ",0
Digital_League,Используем Linux правильно: гайд для аналитика,,,0.12,6.1,+3,"
    41
  ",9
gmelikov,Переизобретаем файловую систему: (Open)ZFS,Обзор,Простой,0.28,11.0,+56,"
    93
  ",67
technokratiya,Исследование рынка ИТ-вакансий: годовой рост составил 18%,Аналитика,Простой,0.15,3.0,0,"
    7
  ",8
Oxygen-Roxy,Сложности перехода на эфемерную среду тестирования или к чему готовиться проектному менеджеру?,Из песочницы,Простой,0.05,0.78,+2,"
    5
  ",5
anna_ovzyak,Проектирование интеграции. Чек-лист — как подготовить архитектурное решение,Туториал,Простой,0.07,6.7,+17,"
    53
  ",9
Mexbass,"Giftadvisor: как мы придумали использовать ChatGPT не ради хайпа, а с реальной пользой",,Простой,0.07,3.5,-5,"
    6
  ",12
dhppc,Судьба нижегородского кейса по теме маркировки рекламы,Обзор,Средний,0.05,1.4,+1,"
    4
  ",4
kartollika,"Что будет если команда, не видавшая Compose, решила делать новую сложную фичу на нём?",Кейс,Средний,0.23,5.0,+13,"
    27
  ",10
labyrinth,Как распознать мошеннический сайт. Памятка безопаснику для обучения пользователей основам ИБ,Туториал,Простой,0.12,13.0,+11,"
    48
  ",5
tomleto,Открытое письмо BI компаниям — проект “Dashboard.AI”,,,0.05,3.2,+1,"
    16
  ",8
SSP_blog,Как пройти техническое интервью на позицию системного аналитика в финтех-проект,,Средний,0.2,7.3,+6,"
    40
  ",12
vStack,Обзор популярных файловых систем в системах виртуализации. Часть 2: BTRFS,Обзор,,0.12,5.3,+10,"
    47
  ",3
